Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS
20201230_074840,55,1001.0,18.2,5.4945054945054945E-5
20201230_074841,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074842,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074843,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074844,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_074845,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074846,58,1006.0,17.344827586206897,5.7654075546719685E-5
20201230_074847,61,1011.0,16.57377049180328,6.033630069238378E-5
20201230_074848,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074849,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074850,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074851,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074852,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074853,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074854,59,1002.0,16.983050847457626,5.888223552894212E-5
20201230_074855,61,1016.0,16.65573770491803,6.0039370078740153E-5
20201230_074856,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074857,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074858,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074859,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074900,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074901,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074902,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074903,59,1000.0,16.949152542372882,5.9E-5
20201230_074904,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074905,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074906,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074907,59,1000.0,16.949152542372882,5.9E-5
20201230_074908,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074909,58,1000.0,17.24137931034483,5.8E-5
20201230_074910,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074911,60,1004.0,16.733333333333334,5.976095617529881E-5
20201230_074912,61,1014.0,16.62295081967213,6.01577909270217E-5
20201230_074913,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074914,59,1000.0,16.949152542372882,5.9E-5
20201230_074915,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074916,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074917,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074918,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074919,60,1002.0,16.7,5.988023952095808E-5
20201230_074920,60,1016.0,16.933333333333334,5.905511811023622E-5
20201230_074921,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074922,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074923,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074924,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074925,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074926,59,1000.0,16.949152542372882,5.9E-5
20201230_074927,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074928,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074929,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074930,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074931,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074932,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074933,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074934,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074935,58,1000.0,17.24137931034483,5.8E-5
20201230_074936,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074937,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074938,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074939,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074940,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074941,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_074942,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_074943,59,1000.0,16.949152542372882,5.9E-5
20201230_074944,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074945,58,1000.0,17.24137931034483,5.8E-5
20201230_074946,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_074947,57,1001.0,17.56140350877193,5.6943056943056946E-5
