Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS
20201230_012717,58,1006.0,17.344827586206897,5.7654075546719685E-5
20201230_012718,59,1000.0,16.949152542372882,5.9E-5
20201230_012719,59,1002.0,16.983050847457626,5.888223552894212E-5
20201230_012720,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_012721,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012722,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_012723,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012724,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012725,60,1019.0,16.983333333333334,5.8881256133464184E-5
20201230_012726,60,1005.0,16.75,5.9701492537313435E-5
20201230_012727,61,1012.0,16.59016393442623,6.027667984189723E-5
20201230_012728,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012729,56,1001.0,17.875,5.5944055944055945E-5
20201230_012730,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012731,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012732,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012733,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012734,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_012735,59,1000.0,16.949152542372882,5.9E-5
20201230_012736,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012737,60,1005.0,16.75,5.9701492537313435E-5
20201230_012738,61,1013.0,16.60655737704918,6.021717670286279E-5
20201230_012739,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012740,58,1002.0,17.275862068965516,5.788423153692615E-5
20201230_012741,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_012742,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012743,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012744,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012745,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_012746,59,1002.0,16.983050847457626,5.888223552894212E-5
20201230_012747,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_012748,60,1002.0,16.7,5.988023952095808E-5
20201230_012749,59,1000.0,16.949152542372882,5.9E-5
20201230_012750,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012751,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012752,60,1012.0,16.866666666666667,5.928853754940711E-5
20201230_012753,61,1007.0,16.508196721311474,6.05759682224429E-5
20201230_012754,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012755,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012756,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_012757,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012758,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012759,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_012800,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012801,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012802,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_012803,60,1002.0,16.7,5.988023952095808E-5
20201230_012804,59,1000.0,16.949152542372882,5.9E-5
20201230_012805,56,1001.0,17.875,5.5944055944055945E-5
20201230_012806,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012807,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_012808,58,1001.0,17.25862068965517,5.7942057942057946E-5
