Timestamp,Frame Count,Total Frame Time (millis),Avg Frame Time (millis),Avg FPS
20201230_093111,58,1013.0,17.46551724137931,5.725567620927937E-5
20201230_093112,58,1000.0,17.24137931034483,5.8E-5
20201230_093113,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093114,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093115,58,1002.0,17.275862068965516,5.788423153692615E-5
20201230_093116,57,1000.0,17.54385964912281,5.7E-5
20201230_093117,59,1000.0,16.949152542372882,5.9E-5
20201230_093118,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093119,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093120,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093121,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093122,59,1000.0,16.949152542372882,5.9E-5
20201230_093123,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093124,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093125,58,1000.0,17.24137931034483,5.8E-5
20201230_093126,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093127,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093128,60,1003.0,16.716666666666665,5.982053838484546E-5
20201230_093129,61,1015.0,16.639344262295083,6.009852216748769E-5
20201230_093130,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093131,59,1000.0,16.949152542372882,5.9E-5
20201230_093132,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093133,59,1000.0,16.949152542372882,5.9E-5
20201230_093134,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093135,59,1000.0,16.949152542372882,5.9E-5
20201230_093136,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093137,59,1015.0,17.203389830508474,5.812807881773399E-5
20201230_093138,59,1003.0,17.0,5.882352941176471E-5
20201230_093139,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093140,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093141,60,1015.0,16.916666666666668,5.911330049261084E-5
20201230_093142,61,1004.0,16.459016393442624,6.075697211155378E-5
20201230_093143,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093144,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093145,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093146,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093147,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093148,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093149,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093150,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093151,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093152,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093153,58,1000.0,17.24137931034483,5.8E-5
20201230_093154,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093155,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093156,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093157,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093158,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093159,59,1000.0,16.949152542372882,5.9E-5
20201230_093200,59,1021.0,17.305084745762713,5.778648383937316E-5
20201230_093201,59,1014.0,17.1864406779661,5.818540433925049E-5
20201230_093202,58,1000.0,17.24137931034483,5.8E-5
20201230_093203,59,1000.0,16.949152542372882,5.9E-5
20201230_093204,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093205,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093206,60,1000.0,16.666666666666668,5.9999999999999995E-5
20201230_093207,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093208,59,1000.0,16.949152542372882,5.9E-5
20201230_093209,59,1020.0,17.28813559322034,5.7843137254901965E-5
20201230_093210,61,1015.0,16.639344262295083,6.009852216748769E-5
20201230_093211,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093212,58,1000.0,17.24137931034483,5.8E-5
20201230_093213,17,1412.0,83.05882352941177,1.2039660056657222E-5
20201230_093215,39,1735.0,44.48717948717949,2.2478386167146973E-5
20201230_093217,39,1722.0,44.15384615384615,2.2648083623693382E-5
20201230_093218,38,1707.0,44.921052631578945,2.2261277094317515E-5
20201230_093220,39,1525.0,39.1025641025641,2.5573770491803277E-5
20201230_093222,39,1734.0,44.46153846153846,2.249134948096886E-5
20201230_093223,39,1718.0,44.05128205128205,2.270081490104773E-5
20201230_093225,38,1705.0,44.86842105263158,2.2287390029325516E-5
20201230_093227,38,1765.0,46.44736842105263,2.1529745042492917E-5
20201230_093229,41,1870.0,45.609756097560975,2.1925133689839575E-5
20201230_093230,39,1364.0,34.97435897435897,2.8592375366568913E-5
20201230_093231,40,1373.0,34.325,2.9133284777858705E-5
20201230_093233,40,1369.0,34.225,2.9218407596785978E-5
20201230_093236,50,3398.0,67.96,1.4714537963507945E-5
20201230_093240,49,3394.0,69.26530612244898,1.4437242192103713E-5
20201230_093242,47,2157.0,45.8936170212766,2.1789522484932778E-5
20201230_093244,47,2660.0,56.59574468085106,1.766917293233083E-5
20201230_093246,43,2070.0,48.13953488372093,2.077294685990338E-5
20201230_093249,46,2051.0,44.58695652173913,2.242808386153096E-5
20201230_093251,48,2564.0,53.416666666666664,1.87207488299532E-5
20201230_093254,48,2565.0,53.4375,1.871345029239766E-5
20201230_093256,46,2081.0,45.23913043478261,2.2104757328207592E-5
20201230_093258,44,2039.0,46.34090909090909,2.157920549288867E-5
20201230_093259,53,1157.0,21.830188679245282,4.5808124459809855E-5
20201230_093302,52,3392.0,65.23076923076923,1.5330188679245283E-5
20201230_093306,53,3413.0,64.39622641509433,1.552886024025784E-5
20201230_093308,46,2033.0,44.19565217391305,2.262666010821446E-5
20201230_093310,49,2579.0,52.63265306122449,1.8999612252811165E-5
20201230_093313,48,2593.0,54.020833333333336,1.8511376783648284E-5
20201230_093316,50,2596.0,51.92,1.9260400616332817E-5
20201230_093317,60,1011.0,16.85,5.934718100890208E-5
20201230_093318,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093319,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093320,58,1000.0,17.24137931034483,5.8E-5
20201230_093321,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093322,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093323,58,1008.0,17.379310344827587,5.7539682539682534E-5
20201230_093324,60,1010.0,16.833333333333332,5.9405940594059404E-5
20201230_093325,58,1000.0,17.24137931034483,5.8E-5
20201230_093326,60,1001.0,16.683333333333334,5.994005994005995E-5
20201230_093327,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093328,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093329,59,1000.0,16.949152542372882,5.9E-5
20201230_093330,58,1000.0,17.24137931034483,5.8E-5
20201230_093331,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093332,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093333,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093334,59,1000.0,16.949152542372882,5.9E-5
20201230_093335,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093336,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093337,58,1000.0,17.24137931034483,5.8E-5
20201230_093338,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093339,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093340,58,1000.0,17.24137931034483,5.8E-5
20201230_093341,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093342,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093343,58,1002.0,17.275862068965516,5.788423153692615E-5
20201230_093344,58,1003.0,17.29310344827586,5.782652043868395E-5
20201230_093345,60,1013.0,16.883333333333333,5.9230009871668316E-5
20201230_093346,57,1000.0,17.54385964912281,5.7E-5
20201230_093347,59,1001.0,16.966101694915253,5.8941058941058946E-5
20201230_093348,58,1001.0,17.25862068965517,5.7942057942057946E-5
20201230_093349,59,1001.0,16.966101694915253,5.8941058941058946E-5
